Station,Date,Time,Grade,Celsius,pH,DO,CODMn,NH,TP,TN,EC,TU,Chla,AD
Lanshanzui,2022/6/8 0:00,158.00 ,4,26.75,7.498,9.859,5.658,0.025,0.0758,1.323,403.918,68.49,0.00662,24255000
Tuoshan,2022/6/8 0:00,158.00 ,3,26.39,8.672,7.224,4.024,0.025,0.0482,1.024,411.275,44.542,0.02049,18314730
Xuhuxin,2022/6/8 0:00,158.00 ,2,26.95,8.78,9.278,2.076,0.025,0.0131,0.309,328.678,5.071,0.00165,1449040
Xidong,2022/6/8 0:00,158.00 ,3,26.64,8.51,8.203,2.663,0.025,0.0342,0.686,425.4,56.41,0.00911,3697920
Wuguishan,2022/6/8 4:00,158.17 ,2,24.5,7.997,16.157,2.129,0.025,0.0188,0.867,398.169,42.385,0.0039,26623400
Wulihuxin,2022/6/8 4:00,158.17 ,4,26.05,8.028,7.139,4.362,0.025,0.0751,1.221,389.499,21.224,0.0444,5006870
Lanshanzui,2022/6/8 4:00,158.17 ,4,26.34,7.259,8.922,4.583,0.025,0.0704,1.204,392.922,67.09,0.0067,19512300
Tuoshan,2022/6/8 4:00,158.17 ,4,26.02,8.583,5.471,3.985,0.025,0.0753,1.052,408.28,46.458,0.02001,17905900
Xuhuxin,2022/6/8 4:00,158.17 ,2,26.4,8.655,8.414,2.037,0.025,0.0147,0.315,329.8,4.759,0.00159,1497160
Xidong,2022/6/8 4:00,158.17 ,3,26.11,8.39,7.689,2.631,0.025,0.0347,0.692,426.06,54.03,0.00586,2505110
Wuguishan,2022/6/8 8:00,158.33 ,2,24.34,8.025,16.327,1.998,0.025,0.0187,0.894,394.746,33.418,0.00321,27096700
Wulihuxin,2022/6/8 8:00,158.33 ,4,25.86,8.201,8.047,4.399,0.025,0.0706,1.277,387.435,16.707,0.03875,5647620
Lanshanzui,2022/6/8 8:00,158.33 ,4,26.14,7.281,8.784,4.31,0.025,0.0698,0.988,385.948,67.91,0.00611,19720200
Tuoshan,2022/6/8 8:00,158.33 ,4,25.77,8.535,5.301,3.748,0.025,0.0716,1.018,406.091,46.355,0.01951,17986210
Xuhuxin,2022/6/8 8:00,158.33 ,2,26.15,8.66,8.515,2.153,0.025,0.0119,0.303,328.744,4.803,0.00155,1486510
Xidong,2022/6/8 8:00,158.33 ,3,25.93,8.42,7.771,2.58,0.025,0.0335,0.627,426.05,53.58,0.00664,2987080
Wuguishan,2022/6/8 12:00,158.50 ,2,25.05,8.173,15.347,2.097,0.025,0.0187,0.941,399.568,39.11,0.0035,44490700
Wulihuxin,2022/6/8 12:00,158.50 ,4,26.99,8.651,10.844,4.509,0.025,0.0648,1.212,385.686,13.967,0.03806,6852010
Lanshanzui,2022/6/8 12:00,158.50 ,4,26.83,7.677,10.465,6.141,0.025,0.0704,,397.007,99.42,0.00558,38438400
Tuoshan,2022/6/8 12:00,158.50 ,4,26.71,8.708,6.841,3.909,0.025,0.0573,1.068,406.484,41.758,0.01924,17552310
Xuhuxin,2022/6/8 12:00,158.50 ,2,27.04,8.894,9.895,2.337,0.025,0.0137,0.369,326.802,4.672,0.00145,1453390
Xidong,2022/6/8 12:00,158.50 ,3,26.27,8.44,8.167,2.718,0.025,0.0331,0.674,424.96,53.82,0.007,3147470
Wuguishan,2022/6/8 16:00,158.67 ,2,25.53,8.079,13.146,1.804,0.025,0.0167,0.916,401.417,46.391,0.0031,25645400
Wulihuxin,2022/6/8 16:00,158.67 ,4,27.76,8.924,13.06,5.304,0.025,0.0696,1.458,381.966,13.626,0.05175,7248790
Lanshanzui,2022/6/8 16:00,158.67 ,4,27.24,7.803,10.781,5.17,0.025,0.0606,,400.57,65.29,0.00499,21004000
Tuoshan,2022/6/8 16:00,158.67 ,4,26.96,8.516,11.254,3.893,0.025,0.0509,0.982,404.533,31.643,0.02523,22776370
Xuhuxin,2022/6/8 16:00,158.67 ,2,27.86,8.952,10.409,2.414,0.025,0.0152,0.356,328.845,6.88,0.00168,1497010
Xidong,2022/6/8 16:00,158.67 ,3,27.76,8.48,8.583,2.58,0.025,0.0318,0.635,425.24,47.44,0.01149,5203580
Wuguishan,2022/6/8 20:00,158.83 ,2,25.18,7.996,16.779,1.881,0.025,0.0156,0.944,398.575,48.617,0.00239,20077800
Wulihuxin,2022/6/8 20:00,158.83 ,4,27.13,8.763,11.571,4.567,0.025,0.0638,0.708,385.588,13.778,0.05638,5682490
Lanshanzui,2022/6/8 20:00,158.83 ,4,27.02,7.648,9.45,5.003,0.025,0.0563,0.858,392.485,72.68,0.00481,18452100
Tuoshan,2022/6/8 20:00,158.83 ,4,26.58,8.433,10.085,4.052,0.025,0.0572,0.967,401.281,32.889,0.02544,21139460
Xuhuxin,2022/6/8 20:00,158.83 ,6,27.46,9.045,10.979,2.086,0.025,0.014,0.323,324.024,6.156,0.00165,1552100
Xidong,2022/6/8 20:00,158.83 ,3,27.51,8.46,8.586,2.574,0.025,0.034,0.651,424.45,52.58,0.0122,5258370
Wuguishan,2022/6/9 0:00,159.00 ,3,24.73,7.962,17.2,1.881,0.025,0.0301,1.316,394.396,67.663,0.00262,38995000
Wulihuxin,2022/6/9 0:00,159.00 ,4,26.5,8.62,10.303,4.567,0.025,0.0687,1.138,387.243,16.083,0.04702,5681430
Lanshanzui,2022/6/9 0:00,159.00 ,4,26.54,7.38,8.525,4.633,0.025,0.0788,0.724,382.97,93.01,0.00387,17272500
Tuoshan,2022/6/9 0:00,159.00 ,4,26.08,8.321,9.054,4.052,0.025,0.0698,1.063,397.037,55.2,0.02284,21043490
Xuhuxin,2022/6/9 0:00,159.00 ,2,26.82,8.847,9.079,2.086,0.025,0.014,0.304,327.166,6.671,0.00161,1519900
Xidong,2022/6/9 0:00,159.00 ,3,26.84,8.3,7.756,2.624,0.025,0.0346,0.706,426.13,58.05,0.01046,3939300
Wuguishan,2022/6/9 4:00,159.17 ,3,24.32,7.9,17.086,1.987,0.025,0.0283,1.216,389.23,79.873,0.00253,29833600
Wulihuxin,2022/6/9 4:00,159.17 ,4,26.05,8.487,9.218,4.371,0.025,0.0626,0.725,389.427,15.422,0.04641,5212460
Lanshanzui,2022/6/9 4:00,159.17 ,4,26.23,7.278,8.042,4.203,0.025,0.068,0.745,384.051,81.1,0.00403,16629100
Tuoshan,2022/6/9 4:00,159.17 ,4,25.77,8.25,8.036,4.17,0.025,0.0759,1.082,393.346,52.804,0.02363,21670110
Xuhuxin,2022/6/9 4:00,159.17 ,2,26.24,8.804,8.441,2.334,0.025,0.0136,0.315,326.768,6.226,0.00164,1563560
Xidong,2022/6/9 4:00,159.17 ,3,26.24,8.23,7.323,2.625,0.025,0.0336,0.722,426.4,56.53,0.01074,4193560
Wuguishan,2022/6/9 8:00,159.33 ,3,24.15,7.882,16.741,2.108,0.025,0.0359,1.227,388.857,72.782,0.00253,35791000
Wulihuxin,2022/6/9 8:00,159.33 ,4,26.15,8.549,9.506,4.695,0.025,0.0631,0.815,389.334,14.458,0.04792,5196910
Lanshanzui,2022/6/9 8:00,159.33 ,4,26.07,7.125,7.817,4.107,0.025,0.072,0.936,376.657,91.86,0.0036,17672900
Tuoshan,2022/6/9 8:00,159.33 ,4,25.74,8.15,8.122,3.976,0.025,0.0809,1.058,389.254,54.786,0.02053,20969960
Xuhuxin,2022/6/9 8:00,159.33 ,2,26.02,8.701,8.168,2.118,0.025,0.0122,0.281,325.841,6.397,0.00149,1553230
Xidong,2022/6/9 8:00,159.33 ,3,26.15,8.22,7.317,2.62,0.025,0.034,0.71,427.57,61.28,0.01156,4686770
Wuguishan,2022/6/9 12:00,159.50 ,2,24.91,7.953,10.825,1.94,0.025,0.0227,0.706,394.671,78.124,0.0031,43184700
Wulihuxin,2022/6/9 12:00,159.50 ,4,27.32,8.779,11.094,4.616,0.025,0.058,1.265,391.29,13.059,0.0362,5897330
Lanshanzui,2022/6/9 12:00,159.50 ,4,26.75,7.412,8.998,4.67,0.025,0.0656,0.936,379.682,88.81,0.00378,27241800
Tuoshan,2022/6/9 12:00,159.50 ,4,27.18,8.571,11.479,4.59,0.025,0.0663,1.098,386.775,36.923,0.02625,26458140
Xuhuxin,2022/6/9 12:00,159.50 ,2,27.07,8.86,9.089,2.413,0.025,0.0144,0.337,326.54,6.361,0.0013,1377080
Xidong,2022/6/9 12:00,159.50 ,3,26.82,8.31,7.779,2.696,0.025,0.0327,0.675,427.27,52.54,0.00981,4912580
Wuguishan,2022/6/9 16:00,159.67 ,2,25.51,7.947,17.459,1.818,0.025,0.0225,0.707,398.68,91.828,0.00358,43645800
Wulihuxin,2022/6/9 16:00,159.67 ,4,27.36,8.928,12.25,5.148,0.025,0.0607,0.891,389.313,12.814,0.0528,7540360
Lanshanzui,2022/6/9 16:00,159.67 ,4,27.18,7.459,9.256,4.019,0.025,0.0573,,380.223,82.9,0.0038,17137700
Tuoshan,2022/6/9 16:00,159.67 ,4,27.79,8.638,11.981,4.09,0.025,0.0618,1.141,379.009,31.842,0.02138,22794190
Xuhuxin,2022/6/9 16:00,159.67 ,2,27.89,8.983,9.93,2.308,0.025,0.0149,0.338,326.608,7.808,0.00177,1654100
Xidong,2022/6/9 16:00,159.67 ,3,27.62,8.34,8.033,2.66,0.025,0.0328,0.665,427.42,51.86,0.00754,4881300
Wuguishan,2022/6/9 20:00,159.83 ,3,25.19,7.901,16.8,1.992,0.025,0.0254,1.162,393.414,84.293,0.00293,43835400
Wulihuxin,2022/6/9 20:00,159.83 ,4,26.96,8.77,10.709,4.905,0.025,0.066,1.065,391.851,14.968,0.06956,7234890
Lanshanzui,2022/6/9 20:00,159.83 ,4,26.95,7.356,8.672,4.561,0.025,0.0782,0.849,382.476,104.83,0.004,18826400
Tuoshan,2022/6/9 20:00,159.83 ,4,26.71,8.363,8.959,3.717,0.025,0.0583,1.113,375.896,42.981,0.01896,19548540
Xuhuxin,2022/6/9 20:00,159.83 ,6,27.37,9.07,10.284,2.46,0.025,0.0141,0.345,322.486,7.731,0.00175,1778380
Xidong,2022/6/9 20:00,159.83 ,3,27.48,8.38,8.061,2.641,0.025,0.0333,0.685,428.75,56.29,0.00888,2736650
Wuguishan,2022/6/10 0:00,160.00 ,3,24.75,7.876,17.651,1.992,0.025,0.0474,1.212,388.145,96.757,0.0035,67201700
Wulihuxin,2022/6/10 0:00,160.00 ,4,26.53,8.674,9.798,4.905,0.025,0.0697,1.115,392.512,18.483,0.05605,6601360
Lanshanzui,2022/6/10 0:00,160.00 ,4,26.54,7.28,8.158,4.561,0.025,0.0938,0.74,380.075,115.69,0.00396,16552100
Tuoshan,2022/6/10 0:00,160.00 ,4,26.64,8.274,8.407,3.717,0.025,0.0732,1.178,367.165,60.117,0.01563,17940640
Xuhuxin,2022/6/10 0:00,160.00 ,2,26.85,8.823,8.433,2.46,0.025,0.0136,0.299,324.043,7.952,0.00157,1368160
Xidong,2022/6/10 0:00,160.00 ,3,26.94,8.27,7.532,2.705,0.025,0.0352,0.739,429.68,63.4,0.00871,2519930
Wuguishan,2022/6/10 4:00,160.17 ,3,24.31,7.815,17.438,2.624,0.025,0.0414,1.228,385.726,105.215,0.00338,64215600
Wulihuxin,2022/6/10 4:00,160.17 ,4,26.27,8.629,9.309,4.797,0.025,0.0644,0.733,391.308,14.741,0.06028,6828500
Lanshanzui,2022/6/10 4:00,160.17 ,,26.25,7.132,7.746,4.07,,0.0817,0.745,380.797,97.49,0.00385,16541200
Tuoshan,2022/6/10 4:00,160.17 ,4,25.99,8.102,7.366,4.086,0.025,0.087,1.254,365.842,65.263,0.01821,20569990
Xuhuxin,2022/6/10 4:00,160.17 ,2,26.24,8.859,7.971,2.318,0.025,0.0136,0.305,321.145,8.118,0.00162,1713510
Xidong,2022/6/10 4:00,160.17 ,3,26.46,8.2,7.212,2.682,0.025,0.0355,0.693,428.7,57.2,0.00951,1960680
Wuguishan,2022/6/10 8:00,160.33 ,3,23.99,7.8,17.663,2.326,0.025,0.0438,1.228,383.819,106.804,0.00324,77093900
Wulihuxin,2022/6/10 8:00,160.33 ,4,26.21,8.544,8.726,5.155,0.025,0.072,1.2,392.011,17.69,0.05735,7188390
Lanshanzui,2022/6/10 8:00,160.33 ,,25.86,6.999,7.673,4.237,,0.0809,1.086,372.157,118.1,0.00406,19978800
Tuoshan,2022/6/10 8:00,160.33 ,5,25.56,7.823,7.135,4.575,0.025,0.1224,1.419,359.302,119.552,0.01569,18238430
Xuhuxin,2022/6/10 8:00,160.33 ,2,25.77,8.561,7.342,2.42,0.025,0.0145,0.275,325.746,10.69,0.00205,2128770
Xidong,2022/6/10 8:00,160.33 ,3,26.03,8.16,7.156,2.624,0.025,0.0345,0.732,429.91,65.58,0.01105,1813820
Wuguishan,2022/6/10 12:00,160.50 ,3,24.44,7.821,17.435,2.186,0.025,0.0332,1.171,385.585,110.207,0.00384,81202400
Wulihuxin,2022/6/10 12:00,160.50 ,4,26.66,8.719,10.034,5.074,0.025,0.0754,1.175,391.467,15.403,0.05531,7834980
Lanshanzui,2022/6/10 12:00,160.50 ,,26.34,7.132,8.091,4.216,,0.0845,,381.277,110.18,0.00397,20052400
Tuoshan,2022/6/10 12:00,160.50 ,4,26.11,7.862,7.494,4.395,0.025,0.0876,1.363,358.566,81.255,0.01537,19631930
Xuhuxin,2022/6/10 12:00,160.50 ,2,25.9,8.561,8.028,2.252,0.025,0.0182,0.301,327.576,12.009,0.00192,2506520
Xidong,2022/6/10 12:00,160.50 ,3,26.36,8.2,7.34,2.638,0.025,0.0359,0.741,430.3,64.35,0.01094,1651930
Wuguishan,2022/6/10 16:00,160.67 ,3,24.45,7.739,16.399,2.445,0.025,0.0447,1.292,386.759,135.072,0.00367,81038800
Wulihuxin,2022/6/10 16:00,160.67 ,4,26.8,8.782,10.431,5.104,0.025,0.0694,1.158,391.499,15.082,0.05189,7177940
Lanshanzui,2022/6/10 16:00,160.67 ,,26.48,7.173,8.119,4.184,,0.0868,,393.248,107.22,0.0036,16269000
Tuoshan,2022/6/10 16:00,160.67 ,4,26.46,7.976,7.779,4.079,0.025,0.0997,1.291,355.615,86.243,0.01722,17695200
Xuhuxin,2022/6/10 16:00,160.67 ,2,25.81,8.405,7.923,2.369,0.025,0.0176,0.436,334.316,12.938,0.00235,2868720
Xidong,2022/6/10 16:00,160.67 ,3,26.72,8.3,7.846,2.742,0.025,0.0376,0.747,432.49,72.98,0.00569,1994340
Wuguishan,2022/6/10 20:00,160.83 ,3,24.03,7.696,17.558,2.333,0.025,0.0486,1.2,383.488,121.431,0.00338,72911800
Wulihuxin,2022/6/10 20:00,160.83 ,4,26.34,8.677,9.631,4.975,0.025,0.0668,1.05,392.723,15.308,0.06125,6435640
Lanshanzui,2022/6/10 20:00,160.83 ,,25.95,6.935,7.911,4.174,,0.1066,0.839,389.19,138.72,0.00483,17088900
Tuoshan,2022/6/10 20:00,160.83 ,5,26.05,7.784,7.253,4.211,0.025,0.1215,1.314,353.872,98.839,0.01757,17120200
Xuhuxin,2022/6/10 20:00,160.83 ,2,25.25,8.219,7.469,2.355,0.025,0.0164,0.432,338.091,12.427,0.00212,2529250
Xidong,2022/6/10 20:00,160.83 ,3,26.17,8.2,7.341,2.764,0.025,0.0392,0.763,432.8,67.21,0.00505,1485010
Wuguishan,2022/6/11 0:00,161.00 ,3,23.58,7.653,17.749,2.333,0.025,0.0435,1.218,381.68,162.607,0.0037,74391500
Wulihuxin,2022/6/11 0:00,161.00 ,,25.92,8.52,8.716,4.975,,0.0684,1.011,393.979,16.972,0.05749,6437160
Lanshanzui,2022/6/11 0:00,161.00 ,,25.37,6.82,7.705,4.174,,0.0986,0.769,396.155,128.68,0.00413,16766200
Tuoshan,2022/6/11 0:00,161.00 ,5,25.53,7.728,7.085,4.211,0.025,0.1064,1.256,354.337,88.933,0.0187,16844310
Xuhuxin,2022/6/11 0:00,161.00 ,2,25,8.125,6.998,2.355,0.025,0.0161,0.435,337.225,11.973,0.00205,2286100
Xidong,2022/6/11 0:00,161.00 ,3,25.78,8.15,7.146,2.698,0.0287,0.0373,0.764,433.29,61.95,0.00379,1323250
Wuguishan,2022/6/11 4:00,161.17 ,3,23.37,7.431,16.319,2.63,0.025,0.0346,1.127,380.923,259.65,0.00341,48433100
Wulihuxin,2022/6/11 4:00,161.17 ,,25.86,8.429,8.094,4.726,,0.0807,1.063,393.398,22.774,0.05432,6225280
Lanshanzui,2022/6/11 4:00,161.17 ,,25.12,6.831,7.369,4.122,,0.0683,0.961,405.097,95.56,0.00412,19893700
Tuoshan,2022/6/11 4:00,161.17 ,4,25.41,7.613,6.382,4.348,0.025,0.0895,1.274,356.969,76.356,0.01811,17285100
Xuhuxin,2022/6/11 4:00,161.17 ,2,24.67,7.987,6.575,2.108,0.025,0.0152,0.305,339.079,11.997,0.00181,2126270
Xidong,2022/6/11 4:00,161.17 ,3,25.39,8.14,7.062,2.58,0.0281,0.033,0.717,433.86,57.68,0.00306,941630
Wuguishan,2022/6/11 8:00,161.33 ,3,23.33,7.558,17.603,2.463,0.025,0.0327,1.137,381.003,207.886,0.00347,47468300
Wulihuxin,2022/6/11 8:00,161.33 ,,25.73,8.505,8.392,4.558,,0.0687,1.091,392.982,18.2,0.04418,5812760
Lanshanzui,2022/6/11 8:00,161.33 ,,25,6.759,7.499,3.033,,0.0591,0.666,407.828,74.1,0.00304,11514500
Tuoshan,2022/6/11 8:00,161.33 ,4,25.29,7.648,6.732,3.573,0.025,0.0685,1.29,356.814,57.871,0.01706,16746220
Xuhuxin,2022/6/11 8:00,161.33 ,2,24.58,8.086,6.993,2.305,0.025,0.0145,0.271,338.303,11.87,0.00168,2123640
Xidong,2022/6/11 8:00,161.33 ,3,25.3,8.13,7.312,2.424,0.0295,0.0355,0.683,434.54,61.22,0.00336,1391870
Wuguishan,2022/6/11 12:00,161.50 ,3,24.68,7.676,18.786,2.191,0.025,0.0296,1.088,390.456,167.663,0.00384,62765900
Wulihuxin,2022/6/11 12:00,161.50 ,,26.21,8.617,9.448,4.009,,0.0689,1.077,393.372,15.705,0.03931,6319010
Lanshanzui,2022/6/11 12:00,161.50 ,,26.95,7.387,9.488,3.57,,0.0737,0.666,407.662,77.07,0.00477,19037400
Tuoshan,2022/6/11 12:00,161.50 ,4,26.14,7.835,7.797,3.903,0.025,0.061,1.323,360.807,57.352,0.01956,18189610
Xuhuxin,2022/6/11 12:00,161.50 ,2,25.4,8.471,8.354,2.378,0.025,0.0148,0.281,334.534,11.387,0.00151,2176350
Xidong,2022/6/11 12:00,161.50 ,3,26.11,8.17,7.565,2.516,0.0275,0.0353,0.691,434.58,60.31,0.00494,1354870
Wuguishan,2022/6/11 16:00,161.67 ,3,24.63,7.889,20.567,2.272,0.025,0.0297,1.169,391.016,250.461,0.00358,55547500
Wulihuxin,2022/6/11 16:00,161.67 ,,26.6,8.7,9.927,4.625,,0.069,1.103,393.051,16.707,0.04482,6321810
Lanshanzui,2022/6/11 16:00,161.67 ,,27.4,7.482,10.031,4.527,,0.05,0.977,405.278,67.6,0.00354,17409800
Tuoshan,2022/6/11 16:00,161.67 ,4,26.52,8.087,8.526,3.669,0.025,0.0641,1.332,359.573,52.755,0.0224,17023320
Xuhuxin,2022/6/11 16:00,161.67 ,2,26.06,8.811,9.556,2.338,0.025,0.0157,0.292,327.091,9.883,0.00172,2146620
Xidong,2022/6/11 16:00,161.67 ,3,26.79,8.26,7.988,2.597,0.025,0.0327,0.704,434.65,62.43,0.00656,1575940
Wuguishan,2022/6/11 20:00,161.83 ,3,23.9,8.156,8.512,2.415,0.025,0.0403,1.247,404.824,61.842,0.00609,69154300
Wulihuxin,2022/6/11 20:00,161.83 ,,26.37,8.618,9.18,4.764,,0.0786,1.129,393.74,21.848,0.0527,5918140
Lanshanzui,2022/6/11 20:00,161.83 ,4,26.16,6.967,8.456,3.791,0.025,0.072,0.814,395.472,91.45,0.00342,14015900
Tuoshan,2022/6/11 20:00,161.83 ,4,26.27,8.077,8.318,3.845,0.025,0.0731,1.149,357.636,57.246,0.02274,16492740
Xuhuxin,2022/6/11 20:00,161.83 ,2,25.68,8.812,9.643,2.231,0.025,0.015,0.298,330.12,6.485,0.00178,1977190
Xidong,2022/6/11 20:00,161.83 ,3,26.35,8.25,7.902,2.471,0.025,0.034,0.71,435.44,63.31,0.00616,1718590
Wuguishan,2022/6/12 0:00,162.00 ,3,23.51,8.135,8.597,2.415,0.025,0.0461,1.317,402.551,74.191,0.00563,64896100
Wulihuxin,2022/6/12 0:00,162.00 ,,26.11,8.528,8.54,4.764,,0.0783,1.076,394.469,22.244,0.05091,5371720
Lanshanzui,2022/6/12 0:00,162.00 ,4,25.79,6.881,7.888,3.791,0.025,0.0816,1.101,380.361,111.75,0.00426,12663900
Tuoshan,2022/6/12 0:00,162.00 ,4,25.9,7.897,7.584,3.845,0.025,0.0806,1.288,356.871,68.464,0.01891,15505980
Xuhuxin,2022/6/12 0:00,162.00 ,2,25.28,8.511,8.185,2.231,0.025,0.0142,0.281,335.395,6.436,0.00149,1806610
Xidong,2022/6/12 0:00,162.00 ,3,25.85,8.18,7.531,2.574,0.025,0.0343,0.74,435.66,63.88,0.0057,1599710
Wuguishan,2022/6/12 4:00,162.17 ,3,23.13,8.046,8.84,2.289,0.025,0.0439,1.316,398.929,65.559,0.00475,57663600
Wulihuxin,2022/6/12 4:00,162.17 ,,25.86,8.423,7.876,4.548,,0.0838,1.142,394.907,22.585,0.05217,5013760
Lanshanzui,2022/6/12 4:00,162.17 ,4,25.21,6.67,7.628,3.668,0.025,0.0941,0.921,402.065,107.68,0.0042,10943900
Tuoshan,2022/6/12 4:00,162.17 ,4,25.5,7.786,7.196,3.85,0.025,0.0849,1.202,356.066,72.065,0.0193,15990830
Xuhuxin,2022/6/12 4:00,162.17 ,2,24.85,8.421,7.71,2.019,0.025,0.0144,0.283,338.293,6.714,0.00153,1926450
Xidong,2022/6/12 4:00,162.17 ,3,25.44,8.13,7.26,2.525,0.025,0.0353,0.727,436.32,60.71,0.00562,1660700
Wuguishan,2022/6/12 8:00,162.33 ,3,22.97,8.008,9.683,2.499,0.025,0.0411,1.254,397.253,51.162,0.00395,57781000
Wulihuxin,2022/6/12 8:00,162.33 ,,25.6,8.418,7.963,4.636,,0.0771,1.093,394.668,20.279,0.03797,4664910
Lanshanzui,2022/6/12 8:00,162.33 ,4,24.73,6.605,7.537,3.596,0.025,0.0876,1.117,384.401,110.31,0.00487,10562400
Tuoshan,2022/6/12 8:00,162.33 ,4,25.26,7.762,7.203,3.751,0.025,0.0833,1.21,354.602,72.417,0.02184,15809750
Xuhuxin,2022/6/12 8:00,162.33 ,2,24.55,8.247,7.47,2.244,0.025,0.0133,0.27,342.297,6.142,0.00157,1981310
Xidong,2022/6/12 8:00,162.33 ,3,25.26,8.16,7.458,2.595,0.025,0.0344,0.713,436.22,59.19,0.00534,1766400
Wuguishan,2022/6/12 12:00,162.50 ,3,22.91,8.043,10.657,2.85,0.025,0.0418,1.271,398.346,57.368,0.00449,59212100
Wulihuxin,2022/6/12 12:00,162.50 ,4,25.6,8.479,8.378,4.638,0.025,0.0762,1.068,394.749,17.198,0.04253,5113760
Lanshanzui,2022/6/12 12:00,162.50 ,4,24.79,6.58,7.586,3.797,0.025,0.0818,1.362,392.211,99.51,0.0052,10929000
Tuoshan,2022/6/12 12:00,162.50 ,5,25.02,7.661,7.349,3.643,0.025,0.1084,1.287,354.822,86.196,0.02115,15061950
Xuhuxin,2022/6/12 12:00,162.50 ,2,24.61,8.426,8.181,2.092,0.025,0.0145,0.292,337.463,7.432,0.00186,2408850
Xidong,2022/6/12 12:00,162.50 ,3,25.31,8.18,7.688,2.689,0.025,0.0368,0.739,436.2,67.92,0.00606,1876930
Wuguishan,2022/6/12 16:00,162.67 ,3,23.16,8.03,11.543,2.686,0.025,0.0443,1.278,399.958,53.241,0.00464,61725800
Wulihuxin,2022/6/12 16:00,162.67 ,4,25.6,8.496,8.503,4.666,0.025,0.0807,1.084,393.631,18.105,0.05636,4985780
Lanshanzui,2022/6/12 16:00,162.67 ,4,24.49,6.581,7.751,3.388,0.025,0.0746,1.343,388.62,98.43,0.0047,9355620
Tuoshan,2022/6/12 16:00,162.67 ,4,24.99,7.689,7.359,3.485,0.025,0.0912,1.24,358.032,81.516,0.02263,14448200
Xuhuxin,2022/6/12 16:00,162.67 ,2,24.58,8.59,8.868,2.368,0.025,0.015,0.293,336.183,6.966,0.00194,2620390
Xidong,2022/6/12 16:00,162.67 ,3,25.23,8.25,7.92,2.654,0.025,0.0393,0.736,436.1,65.25,0.0072,2197600
Wuguishan,2022/6/12 20:00,162.83 ,3,22.95,7.988,12.369,2.217,0.025,0.0389,1.256,399.005,52.895,0.00378,49307200
Wulihuxin,2022/6/12 20:00,162.83 ,4,25.44,8.426,8.108,4.804,0.025,0.0863,1.06,394.366,20.43,0.06258,5042700
Lanshanzui,2022/6/12 20:00,162.83 ,4,24.05,6.575,7.717,3.272,0.025,0.0716,1.271,380.606,85.85,0.00534,9027970
Tuoshan,2022/6/12 20:00,162.83 ,4,24.72,7.62,7.285,3.544,0.025,0.0893,1.132,358.82,79.017,0.02409,14376890
Xuhuxin,2022/6/12 20:00,162.83 ,2,24.37,8.43,8.251,2.337,0.025,0.0135,0.231,338.039,6.998,0.00195,2393270
Xidong,2022/6/12 20:00,162.83 ,3,24.89,8.22,7.956,2.812,0.025,0.0375,0.73,436.69,64.05,0.00631,2022820
Wuguishan,2022/6/13 0:00,163.00 ,3,22.72,8.003,13.008,2.217,0.025,0.0385,1.261,397.159,54.218,0.00404,54936400
Wulihuxin,2022/6/13 0:00,163.00 ,4,25.26,8.386,7.842,4.804,0.025,0.085,1.069,394.189,20.449,0.04867,4313380
Lanshanzui,2022/6/13 0:00,163.00 ,4,23.75,6.538,7.664,3.272,0.025,0.0702,1.069,382.082,83.84,0.00455,8322420
Tuoshan,2022/6/13 0:00,163.00 ,4,24.39,7.607,7.141,3.544,0.025,0.0909,1.29,359.064,73.106,0.02247,14954930
Xuhuxin,2022/6/13 0:00,163.00 ,2,24.07,8.315,7.755,2.337,0.025,0.0137,0.281,339.249,6.702,0.00168,2232420
Xidong,2022/6/13 0:00,163.00 ,3,24.61,8.14,7.533,2.583,0.025,0.0358,0.733,436.8,59.1,0.00636,2492460
Wuguishan,2022/6/13 4:00,163.17 ,3,22.48,7.995,13.345,2.219,0.025,0.0319,1.15,394.2,34.938,0.00347,41228000
Wulihuxin,2022/6/13 4:00,163.17 ,4,24.97,8.254,7.262,5.022,0.025,0.0847,1.243,394.645,20.676,0.05306,4006370
Lanshanzui,2022/6/13 4:00,163.17 ,4,23.58,6.518,7.635,2.792,0.025,0.0627,0.955,381.456,77.82,0.00413,8579940
Tuoshan,2022/6/13 4:00,163.17 ,4,24.24,7.628,6.978,3.237,0.025,0.084,1.364,362.217,61.692,0.02036,14230720
Xuhuxin,2022/6/13 4:00,163.17 ,2,23.81,8.275,7.503,2.356,0.025,0.0137,0.269,337.103,5.8,0.00159,2004930
Xidong,2022/6/13 4:00,163.17 ,3,24.3,8.15,7.586,2.53,0.025,0.0331,0.727,436.89,55.98,0.00603,1985150
Wuguishan,2022/6/13 8:00,163.33 ,3,22.43,7.969,13.649,2.117,0.025,0.0296,1.088,394.375,27.345,0.00276,34836900
Wulihuxin,2022/6/13 8:00,163.33 ,4,24.94,8.204,7.086,4.575,0.025,0.0724,0.665,395.118,17.501,0.04757,4180930
Lanshanzui,2022/6/13 8:00,163.33 ,3,23.49,6.547,7.628,2.609,0.025,0.0495,0.882,381.418,74.6,0.00342,8435080
Tuoshan,2022/6/13 8:00,163.33 ,4,24.21,7.597,6.708,3.094,0.025,0.0633,1.141,364.121,48.015,0.02495,13536030
